year,movie_name,release_date,opening_day,opening_weekend,week_1,lifetime_collection
2011,F.A.L.T.U,01 Apr 2011,4.40 Cr,13.00 Cr,17.25 Cr,24.57 Cr
2011,The Green Chic,01 Apr 2011,0 CrN.A,0 CrN.A,0 CrN.A,Cr
2011,Game,01 Apr 2011,1.25 Cr,3.25 Cr,4.60 Cr,6.10 Cr
2011,Happy Husbands,25 Mar 2011,0 CrN.A,0 CrN.A,0 CrN.A,0.36 Cr
2011,Yeh Faasley,04 Mar 2011,0 CrN.A,0 CrN.A,0 CrN.A,0.22 Cr
2011,Tanu Weds Manu,25 Feb 2011,3.26 Cr,11.27 Cr,18.56 Cr,36.84 Cr
2011,Satrangee Parachute,25 Feb 2011,0 CrN.A,0 CrN.A,0 CrN.A,0.06 Cr
2011,Kaccha Limboo,18 Feb 2011,0 CrN.A,0 CrN.A,0 CrN.A,0.06 Cr
2011,7 Khoon Maaf,18 Feb 2011,3.30 Cr,11.53 Cr,15.50 Cr,17.69 Cr
2011,Patiala House,11 Feb 2011,4.10 Cr,15.25 Cr,22.50 Cr,31.16 Cr
2011,Aashiqui.in,11 Feb 2011,0 CrN.A,0 CrN.A,0 CrN.A,0.09 Cr
2011,Angel,11 Feb 2011,N.A. Cr,N.A. Cr,N.A. Cr,0.06 Cr
2011,Utt Pataang,04 Feb 2011,N.A. Cr,N.A. Cr,N.A. Cr,0.33 Cr
2011,Yeh Saali Zindagi,04 Feb 2011,1.15 Cr,4.60 Cr,7.50 Cr,12.10 Cr
2011,United Six,04 Feb 2011,0 CrN.A,0 CrN.A,0 CrN.A,0.30 Cr
2011,Dil Toh Baccha Hai Ji,28 Jan 2011,3.70 Cr,15.00 Cr,21.13 Cr,28.91 Cr
2011,Dhobi Ghat,21 Jan 2011,3.05 Cr,10.05 Cr,11.61 Cr,13.77 Cr
2011,Yamla Pagla Deewana,14 Jan 2011,7.95 Cr,22.80 Cr,33.99 Cr,55.28 Cr
2011,Turning 30!!!,14 Jan 2011,0 CrN.A,0 CrN.A,0 CrN.A,1.16 Cr
2011,No One Killed Jessica,07 Jan 2011,3.25 Cr,13.10 Cr,20.70 Cr,24.72 Cr
2011,Ashoka The Hero,07 Jan 2011,N.A. Cr,N.A. Cr,N.A. Cr,0.10 Cr
2011,Vikalp,07 Jan 2011,0 CrN.A,0 CrN.A,0 CrN.A,0.11 Cr
2011,Impatient Vivek,07 Jan 2011,0 CrN.A,0 CrN.A,0 CrN.A,0.09 Cr
2012,Secrets Of Sex,28 Dec 2012,0 CrN.A,0 CrN.A,0.01 Cr,0.21 Cr
2012,Hansa,28 Dec 2012,N.A. Cr,N.A. Cr,0.01 Cr,0.01 Cr
2012,Dabangg 2,21 Dec 2012,21.10 Cr,65.00 Cr,106.78 Cr,155.00 Cr
2012,Myoho,14 Dec 2012,0 CrN.A,0 CrN.A,0 CrN.A,0.01 Cr
2012,Cigarette Ki Tarah,14 Dec 2012,N.A. Cr,N.A. Cr,0.11 Cr,0.12 Cr
2012,10ml Love,07 Dec 2012,N.A. Cr,N.A. Cr,0.39 Cr,0.04 Cr
2012,Khiladi 786,07 Dec 2012,10.40 Cr,34.30 Cr,52.55 Cr,70.00 Cr
2012,Talaash,30 Nov 2012,13.50 Cr,47.10 Cr,67.90 Cr,93.40 Cr
2012,Life of Pi,23 Nov 2012,0 CrN.A,0 CrN.A,0 CrN.A,61 Cr
2012,Jeet Lengey Jahaan,23 Nov 2012,N.A. Cr,N.A. Cr,0.03 Cr,0.06 Cr
2012,Operation Mumbai,23 Nov 2012,N.A. Cr,N.A. Cr,N.A. Cr,0.02 Cr
2012,Jab Tak Hai Jaan,13 Nov 2012,15.23 Cr,80.73 Cr,98.41 Cr,120.85 Cr
2012,Son Of Sardaar,13 Nov 2012,10.72 Cr,66.02 Cr,83.25 Cr,105.03 Cr
2012,It’s Rocking – Dard-E-Disco,09 Nov 2012,N.A. Cr,N.A. Cr,N.A. Cr,0.06 Cr
2012,Murder In Mumbai,09 Nov 2012,N.A. Cr,N.A. Cr,0.02 Cr,0.12 Cr
2012,1920 – Evil Returns,02 Nov 2012,4.05 Cr,12.27 Cr,19.00 Cr,22.86 Cr
2012,Sons of Ram,02 Nov 2012,N.A. Cr,N.A. Cr,0.19 Cr,0.19 Cr
2012,Future To Bright Hai Ji,02 Nov 2012,0 CrN.A,0 CrN.A,0 CrN.A,0.01 Cr
2012,Ata Pata Laapata,02 Nov 2012,N.A. Cr,N.A. Cr,0.37 Cr,0.38 Cr
2012,Luv Shuv Tey Chicken Khurana,02 Nov 2012,1.25 Cr,5.75 Cr,7.80 Cr,9.00 Cr
2012,Le Gaya Saddam,02 Nov 2012,N.A. Cr,N.A. Cr,0.05 Cr,0.06 Cr
2012,Ajab Gazabb Love,26 Oct 2012,N.A. Cr,4.25 Cr,7.00 Cr,7.22 Cr
2012,Rush,26 Oct 2012,0 CrN.A,2.10 Cr,3.25 Cr,3.41 Cr
2012,Chakravyuh,24 Oct 2012,0 CrN.A,12.25 Cr,16.75 Cr,18.42 Cr
2012,Shudra The Rising,19 Oct 2012,N.A. Cr,N.A. Cr,0.63 Cr,0.76 Cr
2012,Janleva 555,19 Oct 2012,0 CrN.A,0 CrN.A,0.05 Cr,0.10 Cr
2012,Delhi Safari,19 Oct 2012,0 CrN.A,0 CrN.A,1.28 Cr,1.53 Cr
2012,Student Of The Year,19 Oct 2012,7.48 Cr,30.00 Cr,48.00 Cr,70.00 Cr
2012,In The Name Of.. Tai,12 Oct 2012,N.A. Cr,N.A. Cr,N.A. Cr,0.01 Cr
2012,Prem Mayee,12 Oct 2012,N.A. Cr,N.A. Cr,0.01 Cr,0.01 Cr
2012,Login,12 Oct 2012,N.A. Cr,N.A. Cr,0.10 Cr,0.04 Cr
2012,Chittagong,12 Oct 2012,0 CrN.A,0 CrN.A,0.15 Cr,0.19 Cr
2012,Bhoot Returns,12 Oct 2012,N.A. Cr,3.75 Cr,4.75 Cr,4.96 Cr
2012,Aiyyaa,12 Oct 2012,1.35 Cr,4.75 Cr,6.25 Cr,6.63 Cr
2012,English Vinglish,05 Oct 2012,2.51 Cr,13.06 Cr,21.00 Cr,34.86 Cr
2012,Kismet Love Paisa Dilli,05 Oct 2012,N.A. Cr,N.A. Cr,3.74 Cr,3.80 Cr
2012,OMG Oh My God!,28 Sep 2012,4.25 Cr,18.65 Cr,36.94 Cr,81.46 Cr
